formule,formula,-,-,f,,
fountaine,fountain,-,-,f,,
fourchette ,fork,fourchettes,forks,f,,
fourmi,ant,-,-,f,,
France,France,-,-,f,,
friperie,second-hand-shop,-,-,f,,
fromage,cheese,-,-,m,p,
fruit,fruit,-,-,m,,
galipette,somersault,-,-,f,,
gamme,range,-,-,f,,
gant,glove,-,-,m,,
gare,station,-,-,f,,
gâteau,cake,gâteaux,cakes,m,,
gauche,"left,awkward",-,-,f,,
gaz,gas,-,-,m,p,
générique,movie-credits,-,-,m,,
genou,knee,genoux,knees,m,,
genre,kind,-,-,m,*,
glace,ice-cream,-,,f,p,
gland,acorn,-,-,m,,
gorge,throat,-,-,f,,
goutte,droplet,-,-,f,,
grange,barn,-,-,f,,
gris,grey,gris,greys,m,,
grotte,cave,-,-,f,,
gymnase ,gym,gymnases,gyms,m,,
hanche,hip,-,-,f,a,
haricot,bean,-,-,m,a,
hasard,twist-of-fate,-,-,m,a,
hâte,"haste,impatience",-,-,f,a,
herbe,grass,-,-,f,p,
heure,hour,-,-,f,,
hibou,owl,hiboux,owls,m,a,
histoire,story,-,-,f,,
homard,lobster,-,-,m,a,
honte,dishonour,-,-,f,a,
hôpital,hospital,hôpitaux,hospitals,m,,
horloge,clock,-,-,f,,
hôtel,hotel,-,-,m,,
hublot,porthole,-,-,m,,
huile ,oil,-,-,f,p,
humeur,mood,-,-,f,,
idée,idea,-,-,f,,
image,image,-,-,f,,
incendie,conflagration,-,-,m,,
indice,clue,-,-,m,,
industrie,"industry,profession",-,-,f,,
inquiétude,"worry,concern",-,-,f,,
intérêt,interest,-,-,m,*,
interrupteur ,(power)switch,-,-,m,,
jambe,leg,-,-,f,*,
joue,cheek,-,-,f,,
jouet,toy,-,-,m,,
joueur,player(m),-,-,m,,
joueuse,player(f),-,-,f,,
joug,yoke,-,-,m,,
journal,newspaper,journaux,newspapers,m,,
jupe,skirt,-,-,f,,
langue,tongue,-,-,f,*,
larme,tear(drop),-,-,f,,
lendemain,"next-day,day-after",-,-,m,,
lenteur,slowness,-,-,f,,
lessive,laundry,-,-,f,p,
lettre,letter,-,-,f,*,
lever de soleil,sunrise,-,-,m,,
librairie,bookshop,-,-,f,,
ligne,line,-,-,f,*,
linge,linen,-,-,m,p,
liste,list,-,-,f,,
lit,bed,-,-,m,,
livre,book,-,-,m,*,
loi,law,-,-,f,,
machine,machine,-,-,f,,
magasin,shop,-,-,m,,
main,hand,-,-,f,*,
mais,corn,-,-,m,p,
maison,house,-,-,f,,
mal,"pain,evil",maux,"pains,evils",m,,
maladie,"illness,disease",-,-,f,,
